adc_clk_f should be 600000, is 600000 . sample_f should be 8000, is 8000. hclk is 48000000
177, 25, 51
178, 15, 36
179, 21, 17
180, 14, -6
181, 32, -25
182, 7, -43
183, 34, -48
184, 28, -46
185, 13, -35
186, 29, -15
187, 19, 3
188, 20, 22
189, 13, 36
190, 20, 43
191, 4, 39
192, 8, 30
193, 12, 16
194, 15, 1
195, 5, -12
196, 17, -19
197, 17, -21
198, 17, -18
199, 33, -8
200, 15, 0
201, 32, 11
202, 28, 17
203, 31, 19
204, 40, 16
205, 35, 9
206, 28, 0
207, 39, -8
208, 31, -14
209, 21, -17
210, 22, -15
211, 25, -9
212, 22, 0
213, 19, 9
214, 28, 19
215, 21, 26
216, 35, 32
217, 37, 32
218, 36, 29
219, 43, 22
220, 37, 10
221, 40, -2
222, 54, -15
223, 37, -29
224, 40, -37
225, 39, -39
226, 37, -34
227, 33, -23
228, 38, -4
229, 17, 15
230, 28, 37
231, 28, 52
232, 15, 59
233, 19, 57
234, 26, 44
235, 9, 21
236, 31, -1
237, 24, -25
238, 4, -45
239, 28, -52
240, 21, -52
241, 1, -42
242, 40, -19
243, 4, 0
244, -3, 20
245, 35, 40
246, 1, 45
247, -6, 44
248, 11, 37
249, -5, 21
250, 8, 5
251, 9, -10
252, 1, -23
253, 9, -28
254, 13, -27
255, 19, -20
256, 20, -9
257, 20, 3
258, 19, 14
259, 26, 22
260, 37, 26
261, 19, 22
262, 18, 14
263, 32, 3
264, 21, -9
265, 15, -19
266, 16, -25
267, 7, -25
268, 13, -18
269, 19, -6
270, 10, 7
271, 15, 23
272, 17, 35
273, 28, 42
274, 31, 42
275, 27, 33
276, 24, 19
277, 31, 0
278, 38, -18
279, 27, -36
280, 38, -46
281, 21, -50
282, 24, -42
283, 31, -26
284, 19, -6
285, 16, 17
286, 11, 39
287, 23, 56
288, 9, 61
289, 7, 57
290, 8, 43
291, 15, 21
292, 5, -5
293, 13, -29
294, 12, -47
295, 4, -57
296, 6, -56
297, 5, -44
298, 25, -22
299, -13, -1
300, -5, 22
301, 22, 41
302, -9, 48
303, -16, 47
304, 7, 40
305, -20, 20
306, 1, 3
307, 5, -15
308, -16, -30
309, 4, -34
310, -6, -34
311, 7, -25
312, 17, -11
313, -4, 2
314, 6, 16
315, 26, 27
316, 10, 28
317, 13, 25
318, 19, 17
319, 10, 4
320, 13, -8
321, 9, -20
322, 8, -27
323, -10, -30
324, 3, -25
325, 7, -15
326, 0, -2
327, 0, 13
328, 14, 28
329, 9, 39
330, 21, 45
331, 22, 42
332, 15, 32
333, 26, 16
334, 17, -5
335, 27, -27
336, 25, -46
337, 3, -59
338, 18, -60
339, 27, -49
340, -6, -32
341, 14, -1
342, 1, 27
343, 3, 55
344, -4, 73
345, 6, 79
346, -9, 68
347, 11, 47
348, -24, 11
349, 19, -20
350, -4, -53
351, -17, -75
352, 15, -79
353, -9, -73
354, 3, -48
355, -12, -18
356, 2, 16
357, -10, 44
358, -16, 63
359, -9, 70
360, -19, 60
361, -26, 40
362, -7, 14
363, -4, -12
364, -24, -37
365, -8, -50
366, -10, -53
367, 10, -43
368, -8, -28
369, 2, -6
370, 0, 14
371, 13, 31
372, -2, 37
373, 15, 38
374, 8, 28
375, -7, 11
376, 14, -3
377, -2, -21
378, -8, -33
379, -15, -38
380, 4, -33
381, -9, -23
382, -7, -7
383, -8, 10
384, 4, 28
385, 9, 41
386, 6, 47
387, 15, 45
388, 8, 33
389, 12, 15
390, 18, -7
391, 20, -29
392, 8, -49
393, 9, -60
394, 14, -60
395, 5, -50
396, 0, -29
397, 2, -1
398, -7, 27
399, -13, 52
400, 3, 70
401, -21, 71
402, -12, 62
403, 1, 41
404, -28, 8
405, 9, -19
406, -24, -50
407, -11, -67
408, 0, -72
409, -17, -65
410, -16, -45
411, -5, -18
412, -21, 8
413, -14, 34
414, -22, 50
415, -20, 56
416, -27, 50
417, -26, 36
418, -14, 17
419, -21, -5
420, -23, -24
421, -17, -36
422, -13, -41
423, -10, -38
424, -12, -29
425, -8, -15
426, -5, 0
427, 2, 14
428, -2, 23
429, 7, 28
430, -5, 25
431, 4, 19
432, 1, 7
433, -7, -6
434, -15, -19
435, -7, -27
436, -7, -31
437, -13, -29
438, -7, -19
439, -9, -5
440, 1, 11
441, 4, 28
442, 11, 41
443, 6, 46
444, 9, 43
445, 8, 29
446, 23, 10
447, 10, -15
448, 3, -40
449, 18, -56
450, 8, -65
451, 10, -60
452, -3, -43
453, 4, -14
454, -9, 15
455, -3, 46
456, -4, 68
457, -10, 76
458, -8, 70
459, -9, 50
460, 0, 21
461, -14, -13
462, 2, -42
463, -11, -65
464, 4, -73
465, -14, -70
466, -8, -52
467, -5, -26
468, -13, 1
469, -12, 28
470, -8, 48
471, -16, 57
472, -29, 55
473, -9, 45
474, -11, 26
475, -17, 4
476, -10, -15
477, -17, -32
478, 0, -41
479, 2, -43
480, -5, -37
481, 3, -24
482, 9, -8
483, 3, 7
484, 20, 23
485, 8, 31
486, 9, 34
487, 8, 29
488, 12, 18
489, 5, 3
490, -8, -13
491, -4, -26
492, -3, -34
493, -5, -35
494, -3, -26
495, 2, -11
496, 6, 8
497, 10, 28
498, 20, 44
499, 11, 51
500, 15, 49
501, 19, 36
502, 26, 14
503, 15, -14
504, 19, -40
505, 8, -61
506, 24, -69
507, 10, -65
508, 4, -47
509, 8, -16
510, -2, 17
511, -2, 50
512, 2, 75
513, -5, 85
514, -11, 78
515, 1, 58
516, -11, 23
517, 10, -12
518, -12, -49
519, -8, -73
520, 7, -83
521, -18, -80
522, 11, -57
523, -16, -29
524, -8, 5
525, -13, 35
526, -10, 58
527, -21, 67
528, -20, 64
529, -25, 48
530, -12, 25
531, -16, -1
532, -23, -25
533, -13, -42
534, -18, -51
535, 3, -47
536, -11, -37
537, -9, -20
538, -2, 0
539, 0, 17
540, 6, 30
541, 6, 35
542, -4, 32
543, -9, 22
544, 9, 9
545, -9, -8
546, -9, -23
547, -17, -33
548, -8, -36
549, -13, -32
550, -10, -20
551, -9, -3
552, -7, 15
553, 2, 33
554, 15, 46
555, 6, 49
556, 2, 42
557, 10, 27
558, 15, 5
559, 18, -20
560, 3, -44
561, 8, -60
562, 12, -66
563, 3, -60
564, 4, -40
565, -5, -13
566, -5, 19
567, -13, 47
568, 0, 70
569, -14, 77
570, -18, 70
571, -7, 50
572, -12, 19
573, -16, -15
574, -3, -45
575, -17, -69
576, -10, -77
577, -6, -71
578, -13, -53
579, -13, -25
580, -19, 4
581, -11, 33
582, -13, 52
583, -22, 60
584, -25, 56
585, -25, 41
586, -19, 20
587, -17, -3
588, -24, -26
589, -18, -40
590, -17, -47
591, -17, -44
592, 3, -31
593, -10, -15
594, -15, 2
595, 7, 20
596, 6, 31
597, -5, 35
598, 5, 32
599, 1, 20
600, 0, 4
601, 5, -11
602, -17, -28
603, -8, -37
604, -11, -40
605, -11, -35
606, 0, -20
607, -9, -1
608, -6, 19
609, 4, 39
610, 14, 52
611, 10, 55
612, 4, 48
613, 17, 31
614, 11, 5
615, 22, -21
616, 14, -48
617, 11, -66
618, 5, -73
619, 21, -63
620, 0, -45
621, 4, -13
622, 9, 21
623, -13, 51
624, 7, 76
625, -2, 84
626, -15, 76
627, 3, 55
628, -13, 21
629, 7, -14
630, -8, -49
631, -10, -73
632, -5, -82
633, -5, -76
634, -12, -57
635, 3, -25
636, -23, 5
637, 1, 39
638, -17, 59
639, -13, 69
640, -15, 65
641, -31, 47
642, -15, 22
643, -4, -5
644, -32, -33
645, -8, -49
646, -12, -58
647, -18, -55
648, 5, -38
649, -3, -17
650, -12, 6
651, 4, 30
652, 4, 44
653, 8, 50
654, 4, 44
655, 6, 29
656, 4, 7
657, 3, -16
658, -5, -37
659, -4, -50
660, -16, -54
661, -3, -45
662, -11, -29
663, -6, -5
664, -5, 20
665, -5, 43
666, 11, 60
667, 13, 65
668, 4, 58
669, 16, 41
670, 10, 14
671, 11, -16
672, 23, -44
673, 8, -69
674, 6, -80
675, 15, -76
676, -3, -60
677, 13, -29
678, 1, 6
679, -11, 43
680, 0, 75
681, 6, 93
682, -13, 92
683, -15, 75
684, 7, 44
685, -7, 2
686, -18, -40
687, 14, -72
688, -19, -96
689, 1, -95
690, -10, -80
691, 4, -47
692, -25, -9
693, -2, 32
694, -21, 62
695, -4, 82
696, -17, 82
697, -30, 66
698, -15, 39
699, -9, 6
700, -19, -27
701, -13, -52
702, -17, -66
703, -6, -65
704, -9, -53
705, 10, -29
706, -9, -4
707, -3, 22
708, 6, 42
709, 16, 53
710, -4, 50
711, 14, 41
712, -2, 20
713, 8, -1
714, 3, -24
715, -7, -43
716, -13, -53
717, -5, -51
718, -9, -41
719, -1, -21
720, -6, 3
721, -3, 29
722, 11, 52
723, 13, 65
724, 8, 66
725, 16, 56
726, 12, 32
727, 14, 1
728, 22, -30
729, 10, -61
730, 6, -81
731, 18, -84
732, -3, -75
733, 14, -46
734, 2, -9
735, -12, 30
736, 4, 68
737, 7, 94
738, -15, 99
739, -18, 87
740, 11, 60
741, -19, 15
742, -12, -28
743, 15, -66
744, -33, -97
745, 5, -101
746, -4, -90
747, -19, -62
748, -5, -20
749, -17, 20
750, -23, 57
751, 1, 83
752, -25, 87
753, -34, 76
754, -11, 52
755, -19, 16
756, -24, -20
757, -14, -49
758, -21, -69
759, -17, -73
760, -12, -63
761, -6, -41
762, -10, -13
763, -10, 15
764, -4, 39
765, 6, 55
766, 0, 58
767, 0, 50
768, -9, 31
769, 13, 8
770, -9, -19
771, -13, -42
772, -6, -56
773, -18, -62
774, -11, -53
775, -8, -35
776, -16, -10
777, -13, 19
778, 4, 46
779, 4, 65
780, 2, 73
781, 2, 67
782, 5, 48
783, 7, 17
784, 13, -17
785, 6, -52
786, 1, -79
787, -2, -92
788, 5, -87
789, 2, -65
790, -8, -31
791, -21, 10
792, -5, 52
793, -13, 83
794, -19, 99
795, -17, 97
796, -24, 74
797, -7, 39
798, -31, -7
799, -6, -48
800, -23, -83
801, -18, -100
802, -30, -100
803, -6, -78
804, -29, -47
805, -29, -6
806, -26, 33
807, -17, 64
808, -33, 80
809, -38, 81
810, -33, 66
811, -35, 38
812, -32, 4
813, -29, -28
814, -29, -55
815, -37, -71
816, -25, -72
817, -17, -60
818, -21, -38
819, -24, -9
820, -24, 18
821, -3, 43
822, -17, 55
823, -18, 56
824, -15, 45
825, -13, 24
826, -23, -2
827, -15, -28
828, -29, -51
829, -29, -62
830, -25, -61
831, -20, -47
832, -22, -24
833, -29, 3
834, -15, 33
835, -13, 55
836, -7, 67
837, -17, 64
838, -9, 49
839, -7, 23
840, -11, -9
841, 2, -40
842, -13, -67
843, -18, -81
844, -8, -79
845, -12, -63
846, -25, -36
847, -14, 0
848, -30, 34
849, -26, 64
850, -16, 81
851, -39, 80
852, -27, 67
853, -25, 38
854, -39, 1
855, -20, -33
856, -27, -64
857, -50, -84
858, -15, -84
859, -39, -74
860, -33, -48
861, -41, -16
862, -34, 17
863, -38, 46
864, -42, 64
865, -42, 68
866, -49, 58
867, -49, 37
868, -37, 10
869, -40, -19
870, -49, -45
871, -37, -59
872, -43, -65
873, -27, -55
874, -26, -38
875, -41, -15
876, -23, 11
877, -26, 31
878, -25, 44
879, -17, 47
880, -26, 38
881, -29, 21
882, -19, 0
883, -33, -24
884, -32, -42
885, -38, -53
886, -32, -53
887, -38, -44
888, -29, -25
889, -40, -2
890, -29, 22
891, -20, 43
892, -18, 55
893, -21, 56
894, -21, 46
895, -16, 26
896, -13, 0
897, -17, -29
898, -10, -54
899, -27, -73
900, -10, -76
901, -26, -68
902, -23, -45
903, -25, -14
904, -37, 19
905, -27, 51
906, -31, 72
907, -33, 80
908, -41, 71
909, -35, 49
910, -30, 16
911, -32, -20
912, -43, -54
913, -30, -77
914, -29, -86
915, -54, -82
916, -15, -58
917, -44, -30
918, -43, 4
919, -24, 37
920, -49, 57
921, -41, 68
922, -44, 63
923, -50, 45
924, -37, 20
925, -40, -9
926, -52, -36
927, -33, -54
928, -38, -63
929, -38, -59
930, -23, -42
931, -35, -21
932, -25, 4
933, -26, 25
934, -17, 41
935, -23, 46
936, -24, 40
937, -17, 26
938, -17, 5
939, -33, -19
940, -18, -37
941, -33, -51
942, -34, -54
943, -18, -45
944, -37, -29
945, -20, -5
946, -29, 18
947, -14, 40
948, -10, 54
949, -18, 57
950, -18, 48
951, 3, 31
952, -16, 3
953, -13, -24
954, 2, -48
955, -19, -68
956, -12, -73
957, -12, -66
958, -14, -47
959, -17, -18
960, -26, 14
961, -14, 46
962, -24, 68
963, -24, 78
964, -41, 71
965, -7, 53
966, -36, 20
967, -37, -15
968, -13, -47
969, -29, -73
970, -39, -84
971, -19, -77
972, -20, -57
973, -47, -29
974, -31, 5
975, -22, 36
976, -33, 57
977, -41, 66
978, -36, 61
979, -38, 42
980, -39, 15
981, -43, -13
982, -27, -37
983, -34, -55
984, -45, -61
985, -25, -53
986, -21, -37
987, -27, -14
988, -36, 8
989, -8, 30
990, -17, 42
991, -26, 44
992, -11, 39
993, -15, 22
994, -26, 1
995, -13, -19
996, -22, -38
997, -31, -51
998, -30, -53
999, -24, -45
1000, -18, -28
1001, -31, -6
1002, -30, 17
1003, -1, 41
1004, -20, 54
1005, -12, 59
1006, 4, 53
1007, -18, 33
1008, -8, 8
1009, 2, -20
1010, -4, -48
1011, -11, -69
1012, -13, -77
1013, -5, -71
1014, -5, -52
1015, -24, -23
1016, -11, 13
1017, -17, 46
1018, -21, 71
1019, -23, 83
1020, -14, 79
1021, -35, 57
1022, -17, 26
1023, -21, -11
1024, -17, -47
1025, -29, -75
1026, -23, -87
1027, -25, -84
1028, -18, -63
1029, -35, -34
1030, -26, 1
1031, -26, 34
1032, -31, 59
1033, -31, 71
1034, -29, 68
1035, -44, 50
1036, -37, 24
1037, -37, -6
1038, -31, -34
1039, -40, -56
1040, -32, -65
1041, -30, -62
1042, -17, -46
1043, -33, -25
1044, -16, 3
1045, -21, 27
1046, -17, 45
1047, -15, 53
1048, -15, 49
1049, -16, 33
1050, -13, 10
1051, -17, -16
1052, -11, -39
1053, -30, -56
1054, -24, -61
1055, -22, -54
1056, -22, -36
1057, -29, -11
1058, -20, 17
1059, -17, 42
1060, -11, 59
1061, -10, 65
1062, 0, 59
1063, -7, 40
1064, -3, 14
1065, 1, -15
1066, 0, -44
1067, -3, -66
1068, -5, -76
1069, -4, -74
1070, -13, -59
1071, -4, -32
1072, -7, 0
1073, -25, 32
1074, -10, 62
1075, -15, 80
1076, -22, 83
1077, -21, 71
1078, -13, 46
1079, -29, 10
1080, -11, -26
1081, -21, -61
1082, -20, -84
1083, -26, -92
1084, -12, -81
1085, -26, -58
1086, -21, -22
1087, -19, 16
1088, -30, 50
1089, -28, 73
1090, -18, 81
1091, -39, 69
1092, -33, 46
1093, -32, 13
1094, -34, -22
1095, -23, -50
1096, -31, -69
1097, -40, -74
1098, -14, -61
1099, -27, -40
1100, -19, -9
1101, -18, 19
1102, -15, 44
1103, -17, 57
1104, -7, 59
1105, -10, 46
1106, -10, 25
1107, -17, -2
1108, -6, -28
1109, -14, -51
1110, -23, -63
1111, -21, -63
1112, -22, -51
1113, -16, -29
1114, -23, -2
1115, -17, 26
1116, -17, 50
1117, -10, 66
1118, -5, 69
1119, -3, 60
1120, -11, 38
1121, 3, 10
1122, -5, -23
1123, 0, -53
1124, 3, -74
1125, -9, -84
1126, -7, -78
1127, -11, -58
1128, -2, -26
1129, -29, 7
1130, -5, 45
1131, -15, 72
1132, -26, 86
1133, -25, 84
1134, -11, 67
1135, -30, 34
1136, -26, -2
1137, -9, -39
1138, -31, -71
1139, -22, -87
1140, -21, -88
1141, -20, -72
1142, -30, -45
1143, -15, -8
1144, -41, 24
1145, -19, 55
1146, -22, 71
1147, -45, 70
1148, -29, 59
1149, -33, 34
1150, -42, 2
1151, -40, -28
1152, -23, -51
1153, -44, -67
1154, -24, -65
1155, -35, -54
1156, -26, -31
1157, -22, -3
1158, -25, 23
1159, -21, 44
1160, -20, 54
1161, -10, 53
1162, -26, 38
1163, -10, 17
1164, -18, -9
1165, -22, -35
1166, -22, -54
1167, -21, -62
1168, -35, -60
1169, -20, -44
1170, -29, -21
1171, -29, 6
1172, -22, 33
1173, -22, 53
1174, -21, 63
1175, -12, 62
1176, -9, 49
1177, -23, 24
1178, -13, -3
1179, -9, -33
1180, -17, -59
1181, -15, -74
1182, -14, -77
1183, -17, -67
1184, -22, -44
1185, -17, -13
1186, -29, 19
1187, -17, 51
1188, -45, 69
1189, -21, 79
1190, -21, 71
1191, -56, 46
1192, -24, 17
1193, -21, -18
1194, -59, -54
1195, -13, -73
1196, -33, -84
1197, -49, -78
1198, -26, -54
1199, -37, -25
1200, -41, 8
1201, -35, 38
1202, -45, 57
1203, -40, 64
1204, -39, 56
1205, -51, 36
1206, -45, 9
1207, -51, -19
1208, -54, -43
1209, -43, -58
1210, -43, -61
1211, -49, -53
1212, -45, -35
1213, -31, -10
1214, -36, 13
1215, -40, 33
1216, -29, 46
1217, -25, 48
1218, -38, 38
1219, -18, 22
1220, -29, -2
1221, -37, -27
1222, -20, -46
1223, -33, -59
1224, -34, -61
1225, -40, -52
1226, -38, -32
1227, -33, -6
1228, -34, 20
1229, -35, 43
1230, -31, 58
1231, -22, 63
1232, -23, 54
1233, -17, 35
1234, -22, 8
1235, -29, -21
1236, -10, -47
1237, -21, -68
1238, -20, -76
1239, -24, -72
1240, -23, -55
1241, -31, -29
1242, -17, 2
1243, -34, 31
1244, -36, 56
1245, -27, 71
1246, -38, 71
1247, -33, 59
1248, -38, 34
1249, -49, 1
1250, -28, -29
1251, -41, -59
1252, -35, -76
1253, -43, -81
1254, -42, -70
1255, -30, -46
1256, -50, -16
1257, -33, 18
1258, -43, 44
1259, -56, 61
1260, -29, 66
1261, -56, 52
1262, -49, 30
1263, -43, 1
1264, -67, -30
1265, -53, -54
1266, -27, -65
1267, -64, -68
1268, -49, -52
1269, -33, -28
1270, -47, -1
1271, -33, 26
1272, -37, 46
1273, -39, 54
1274, -27, 51
1275, -35, 34
1276, -19, 11
1277, -35, -17
1278, -33, -41
1279, -23, -58
1280, -33, -66
1281, -35, -60
1282, -41, -44
1283, -34, -19
1284, -33, 7
1285, -38, 32
1286, -31, 52
1287, -28, 61
1288, -28, 58
1289, -22, 44
1290, -14, 23
1291, -29, -4
1292, -21, -31
1293, -17, -53
1294, -14, -67
1295, -24, -71
1296, -19, -61
1297, -26, -43
1298, -26, -18
1299, -17, 11
1300, -37, 36
1301, -26, 57
1302, -37, 65
1303, -30, 63
1304, -30, 48
1305, -42, 22
1306, -43, -7
1307, -23, -34
1308, -44, -59
1309, -50, -73
1310, -25, -70
1311, -47, -59
1312, -43, -35
1313, -36, -6
1314, -47, 21
1315, -41, 44
1316, -37, 57
1317, -61, 54
1318, -38, 44
1319, -49, 20
1320, -58, -6
1321, -54, -32
1322, -50, -52
1323, -49, -62
1324, -50, -60
1325, -49, -46
1326, -47, -24
1327, -36, 2
1328, -45, 26
1329, -26, 47
1330, -43, 53
1331, -34, 49
1332, -27, 34
1333, -29, 9
1334, -30, -18
1335, -36, -44
1336, -31, -62
1337, -29, -69
1338, -39, -64
1339, -46, -46
1340, -29, -19
1341, -46, 9
1342, -37, 37
1343, -27, 58
1344, -42, 66
1345, -21, 63
1346, -25, 46
1347, -20, 21
1348, -24, -8
1349, -26, -37
1350, -17, -60
1351, -13, -74
1352, -22, -75
1353, -18, -63
1354, -29, -42
1355, -21, -13
1356, -20, 17
1357, -26, 43
1358, -37, 62
1359, -29, 69
1360, -37, 62
1361, -30, 45
1362, -41, 17
1363, -32, -12
1364, -38, -41
1365, -33, -62
1366, -35, -72
1367, -46, -70
1368, -29, -53
1369, -48, -30
1370, -30, 0
1371, -35, 26
1372, -54, 45
1373, -39, 55
1374, -34, 52
1375, -47, 36
1376, -49, 14
1377, -43, -10
1378, -58, -35
1379, -39, -49
1380, -45, -56
1381, -44, -51
1382, -45, -37
1383, -43, -16
1384, -35, 6
1385, -29, 27
1386, -40, 39
1387, -26, 45
1388, -29, 39
1389, -23, 26
1390, -18, 6
1391, -37, -17
1392, -18, -36
1393, -31, -52
1394, -22, -57
1395, -30, -53
1396, -39, -40
1397, -25, -17
1398, -26, 7
1399, -31, 30
1400, -27, 49
1401, -21, 59
1402, -31, 56
1403, -10, 44
1404, -20, 21
1405, -23, -5
1406, -13, -31
1407, -23, -55
1408, -8, -67
1409, -14, -69
1410, -23, -58
1411, -11, -36
1412, -27, -10
1413, -15, 19
1414, -14, 44
1415, -38, 58
1416, -29, 63
1417, -17, 55
1418, -38, 34
1419, -27, 8
1420, -35, -19
1421, -33, -44
1422, -28, -59
1423, -38, -64
1424, -32, -56
1425, -44, -40
1426, -34, -15
1427, -30, 9
1428, -47, 29
1429, -34, 43
1430, -39, 46
1431, -37, 40
1432, -41, 24
1433, -42, 4
1434, -51, -17
1435, -49, -36
1436, -38, -47
1437, -44, -51
1438, -39, -44
1439, -46, -30
1440, -35, -10
1441, -29, 11
1442, -35, 30
1443, -30, 43
1444, -29, 46
1445, -26, 39
1446, -23, 23
1447, -20, 1
1448, -31, -24
1449, -24, -44
1450, -21, -58
1451, -23, -61
1452, -35, -53
1453, -36, -34
1454, -30, -9
1455, -28, 17
1456, -35, 40
1457, -29, 55
1458, -25, 59
1459, -28, 51
1460, -13, 35
1461, -20, 10
1462, -26, -16
1463, -11, -38
1464, -20, -56
1465, -17, -63
1466, -17, -60
1467, -19, -47
1468, -22, -28
1469, -25, -5
1470, -22, 18
1471, -22, 38
1472, -35, 50
1473, -31, 54
1474, -25, 49
1475, -35, 33
1476, -41, 12
1477, -35, -11
1478, -29, -34
1479, -55, -55
1480, -17, -60
1481, -56, -62
1482, -31, -47
1483, -39, -26


